"carat","cut","color","clarity","depth","table","price","x","y","z","V11"
"14631",0.9,"Ideal","H","VS1",60.4,57,10470,6.27,6.29,3.79,0.520869556581602
"14632",1.16,"Ideal","G","SI1",61.8,55,13399,6.75,6.78,4.18,0.146358296042308
"14633",1.11,"Premium","E","SI1",61.3,58,9133,6.66,6.61,4.07,0.803749140352011
"14634",1.08,"Premium","E","SI1",59.6,60,9241,6.73,6.66,3.99,0.229211753932759
"14635",1,"Fair","G","VS1",64.4,56,3513,6.31,6.26,4.05,0.470990918576717
"14636",1.07,"Ideal","F","SI1",60.6,57,13888,6.62,6.67,1.07,0.857723550871015
"14637",1.22,"Premium","J","VS1",61.7,59,9400,6.92,6.85,4.25,0.500543598318473
"14638",1.01,"Very Good","H","VS2",59.7,64,7420,6.45,6.48,3.86,0.505892602493986
"14639",1.13,"Ideal","H","SI1",61.9,60,10908,6.63,6.65,4.11,0.415575188118964
"14640",1.16,"Ideal","D","SI1",62,56,NA,6.76,6.73,4.18,0.0493686159607023
"14641",1.38,"Premium","J","SI1",59,59,NA,7.38,7.32,4.34,0.0572892280761153
"14642",1.33,"Very Good","J","VS2",63.9,57,6680,6.91,6.96,4.43,0.713049761718139
"14643",1.2,"Good","D","SI1",63.5,55,5761,6.7,6.78,4.28,0.160738094942644
"14644",1,"Premium","H","VVS2",61.4,59,8155,6.49,6.45,3.97,0.231080278288573
"14645",1.1,"Very Good","H","VS2",61.3,58,7860,6.63,6.74,4.1,0.488133698701859
"14646",2,"Fair","H","I1",69.8,54,2941,7.6,7.56,5.29,0.235121183330193
"14647",1.05,"Ideal","D","SI1",61.7,56,12480,6.53,6.59,4.05,0.497683975845575
"14648",1.05,"Ideal","D","SI1",62.8,57,14725,6.46,6.48,4.06,0.937069617444649
"14649",1,"Very Good","G","VVS2",63.5,55,7586,6.36,6.3,4.02,0.606675216928124
"14650",1,"Ideal","F","VVS2",61.3,56,13148,6.44,6.41,3.94,0.534840244799852
"14651",1,"Very Good","E","VS1",63.2,53,6112,6.4,6.33,4.02,0.562510777497664
"14652",1.2,"Good","E","VS2",63.7,57,5183,6.71,6.64,4.25,0.106440617004409
"14653",1.65,"Fair","J","SI1",61.6,66,2140,7.61,7.47,4.66,0.826814599568024
"14654",1.2,"Ideal","I","VS2",62.1,57,13994,6.78,6.71,4.19,0.415727783693001
"14655",1.5,"Premium","G","I1",60.3,61,8819,7.39,7.34,4.44,0.263563889777288
"14656",1.5,"Good","J","SI1",64,56,5928,7.21,7.16,4.6,0.862227692967281
"14657",1.11,"Very Good","D","SI1",61.6,57,6689,6.66,6.59,4.08,0.969662591349334
"14658",1.02,"Ideal","G","VS2",62.6,58,14251,6.43,6.39,4.01,0.646705864928663
"14659",1.31,"Very Good","I","SI2",62.7,58,7496,6.88,6.94,4.33,0.548891665413976
"14660",1.52,"Fair","J","SI2",65.8,57,3317,7.18,7.11,4.7,0.348393612308428
"14661",1.05,"Very Good","G","VS2",61.7,55,6635,6.5,6.56,4.03,0.175274859415367
"14662",1.2,"Very Good","G","SI1",62.9,57,6047,6.73,6.79,4.25,0.143203698797151
"14663",1.02,"Premium","D","SI1",60.6,59,8249,6.53,6.47,3.94,0.310516925062984
"14664",1.01,"Very Good","G","VS2",61.6,58,7872,6.4,6.45,3.96,0.360935183940455
"14665",1.01,"Very Good","G","VS2",59.1,58,NA,6.56,6.63,3.9,0.0288581761997193
"14666",1.01,"Very Good","G","VS2",63,57,7353,6.35,6.42,4.02,0.876818186836317
"14667",1.35,"Premium","I","SI2",62.3,59,8580,7.09,7.03,4.4,0.909531151875854
"14668",1.51,"Fair","H","SI2",66.9,57,NA,7.13,7.09,4.75,0.0151741383597255
"14669",1.51,"Fair","F","SI2",65.4,56,3535,7.2,7.08,4.67,0.506429006112739
"14670",1,"Good","G","VS1",63.9,55,5160,6.28,6.34,4.03,0.40400379919447
"14671",1.28,"Very Good","I","SI1",63.6,54,7035,6.87,6.9,4.38,0.799834276316687
"14672",1.21,"Premium","E","SI2",61.7,59,8018,6.83,6.78,4.2,0.50040983245708
"14673",1.32,"Premium","I","SI2",58.4,60,8543,7.24,7.15,4.2,0.990701338509098
"14674",1,"Good","G","VS1",58.6,62,4089,6.5,6.53,3.82,0.902881290996447
"14675",1.18,"Premium","I","VS1",62.1,58,9895,6.76,6.7,4.18,0.382523943437263
"14676",1.21,"Very Good","D","SI2",60.9,58,7919,6.83,6.89,4.18,0.396620758343488
"14677",1.02,"Good","G","VS2",63.6,57,4239,6.41,6.38,4.07,0.684361660620198
"14678",1.02,"Ideal","G","VS2",62.6,57,14772,6.43,6.41,4.02,0.31169149116613
"14679",1.09,"Ideal","F","SI1",62,56,10253,6.61,6.59,4.09,0.598699755268171
"14680",1.09,"Ideal","F","SI1",62,56,13033,6.61,6.56,4.08,0.645117276115343
"14681",1.27,"Good","I","VS2",63.3,63,4903,6.82,6.87,4.33,0.95360365905799
"14682",1.01,"Premium","F","VS2",59.7,60,9049,6.41,6.38,3.82,0.233694492140785
"14683",1.03,"Very Good","D","SI1",62.5,59,7241,6.45,6.48,4.04,0.640173535561189
"14684",1.29,"Premium","H","SI2",60.1,58,9261,7.02,6.95,4.2,0.400952930096537
"14685",1.14,"Premium","F","SI1",61.1,59,9665,6.7,6.75,4.11,0.390824974048883
"14686",1.14,"Premium","F","SI1",59.6,58,9236,6.78,6.8,4.05,0.717972368234769
"14687",1.27,"Ideal","J","VS2",62.9,54,12268,6.87,6.9,4.33,0.101551282918081
"14688",1.25,"Premium","I","VS2",62.2,57,NA,6.92,6.84,4.28,0.0316949086263776
"14689",1.29,"Ideal","H","SI2",62.1,57,10644,6.95,6.93,4.31,0.380829266970977
"14690",1.08,"Good","D","SI1",63.8,59,5075,6.47,6.39,4.1,0.923893709201366
"14691",1.05,"Premium","G","VS2",62.5,55,9836,6.59,6.54,4.1,0.130233380245045
"14692",1.05,"Premium","D","SI1",60.5,56,8745,6.7,6.59,4,0.568038637284189
"14693",1,"Ideal","F","VS2",62.1,57,13714,6.34,6.38,3.95,0.22025277139619
"14694",1,"Ideal","D","SI1",59.9,56,12623,6.51,6.54,3.91,0.490229561459273
"14695",1,"Very Good","H","VVS2",60.3,59,7812,6.41,6.46,3.88,0.862664742395282
"14696",1,"Very Good","F","VS2",62.9,59,6611,6.3,6.33,3.97,0.824104995233938
"14697",1,"Very Good","F","VS2",58.7,62,7576,6.51,6.6,3.85,0.162204960826784
"14698",1,"Good","F","VS2",63.7,59,4198,6.27,6.32,4.01,0.172746052499861
"14699",1.23,"Premium","E","SI2",62.5,58,8031,6.86,6.81,4.27,0.901757198385894
"14700",1.02,"Very Good","F","SI1",62.9,56,7565,6.39,6.43,4.03,0.300412287004292
"14701",0.3,"Ideal","F","VS2",62.3,57,10265,4.3,4.33,2.69,0.101310526253656
"14702",0.3,"Ideal","G","VS1",61.4,55,13072,4.31,4.36,2.66,0.472815644927323
"14703",0.3,"Ideal","G","VS1",61.5,57,11787,4.31,4.34,2.66,0.252722228877246
"14704",0.3,"Premium","G","VS1",61.3,58,8438,4.29,4.33,2.64,0.318412076681852
"14705",0.3,"Ideal","F","VS2",60.7,57,13744,4.29,4.34,2.62,0.791623005876318
"14706",0.3,"Ideal","G","VS1",61.8,55,11056,4.31,4.33,2.67,0.66810380644165
"14707",0.3,"Very Good","G","VS1",62.9,60,6415,4.18,4.22,2.64,0.529425437329337
"14708",0.3,"Premium","G","VS1",61.8,60,8614,4.29,4.32,2.66,0.428088920656592
"14709",0.3,"Ideal","H","VVS2",60.4,56,NA,4.32,4.36,2.62,0.0406587263569236
"14710",0.3,"Good","G","VS1",63.8,55,4544,4.25,4.28,2.72,0.789479705272242
"14711",0.3,"Ideal","F","VS2",61.6,57,14409,4.28,4.32,2.65,0.980773580959067
"14712",0.3,"Ideal","F","VS2",61.3,55,14482,4.3,4.32,2.64,0.924233759986237
"14713",0.3,"Premium","G","VS1",61.9,59,8272,4.28,4.32,2.66,0.833608879242092
"14714",0.3,"Very Good","H","VVS2",63,56,7164,4.23,4.28,2.68,0.397153784986585
"14715",0.3,"Premium","H","VVS2",61.5,58,9359,4.28,4.3,2.64,0.231063969898969
"14716",0.3,"Ideal","G","VS1",62.3,56,11491,4.29,4.32,2.68,0.475239222869277
"14717",0.3,"Premium","F","VS2",62.5,58,NA,4.29,4.32,2.69,0.0556515455245972
"14718",0.3,"Ideal","F","VS2",60.7,56,13133,4.32,4.34,2.63,0.341544029302895
"14719",0.3,"Good","H","VVS2",63.1,60,4096,4.24,4.28,2.69,0.230610078666359
"14720",0.3,"Good","G","VS1",63.6,54,5425,4.25,4.31,2.72,0.553390312474221
"14721",0.3,"Ideal","G","VS1",62.5,57,13487,4.29,4.32,2.69,0.780051429290324
"14722",0.3,"Very Good","G","VS1",61.2,59,NA,4.28,4.32,2.63,0.0449968506582081
"14723",0.3,"Premium","H","VVS2",62,58,9186,4.3,4.35,2.68,0.217338264454156
"14724",0.3,"Very Good","G","VS1",61.4,58,6390,4.32,4.35,2.66,0.956894552102312
"14725",0.3,"Premium","G","VS1",61.4,60,9356,4.3,4.33,2.65,0.836853724904358
"14726",0.3,"Very Good","H","VVS2",60.6,58,7759,4.33,4.35,2.63,0.100769305136055
"14727",0.3,"Ideal","G","VS1",62.2,55,NA,4.28,4.31,2.67,0.0823112344369292
"14728",0.3,"Ideal","H","VVS2",61.6,55,11086,4.3,4.34,2.66,0.251823257189244
"14729",0.3,"Good","G","VS1",63.1,56,4277,4.24,4.26,2.68,0.165425789775327
"14730",0.3,"Very Good","F","VS2",62.9,57,6623,4.27,4.29,2.69,0.850659741321579
"14731",1.15,"Ideal","I","VS1",61.3,56,10765,6.74,6.76,4.14,0.315411251271144
"14732",1.22,"Premium","H","VS2",62.7,58,9937,6.77,6.73,4.23,0.400872098049149
"14733",1.21,"Very Good","I","VS2",62,57,7397,6.78,6.83,4.22,0.858569585019723
"14734",1.15,"Very Good","D","SI1",61.7,58,6958,6.69,6.76,4.15,0.464600234758109
"14735",1.05,"Ideal","I","VVS2",61.8,53,10555,6.56,6.57,4.06,0.542785356286913
"14736",1.25,"Ideal","H","SI2",62.2,55.4,14271,6.89,6.94,4.29,0.428009703056887
"14737",1.01,"Ideal","F","SI1",61.7,56,11202,6.45,6.48,3.99,0.342052319319919
"14738",1.09,"Ideal","E","SI1",61.1,55,14350,6.66,6.7,4.08,0.289899855386466
"14739",1,"Ideal","E","SI1",62.9,56,11205,6.33,6.38,4,0.620357465464622
"14740",1.15,"Good","H","VS1",64.3,54,4815,6.66,6.62,4.27,0.915844064205885
"14741",1.01,"Ideal","H","VS2",61.7,56,12266,6.45,6.47,3.98,0.130089892540127
"14742",1.13,"Ideal","D","SI1",61.8,56,14760,6.74,6.68,4.15,0.936062536900863
"14743",1.21,"Ideal","H","SI1",62,56,11568,6.86,6.81,4.24,0.973486729664728
"14744",1.26,"Ideal","G","SI2",60.9,55,14000,7,7.05,4.28,0.476937557104975
"14745",1.19,"Ideal","F","SI1",62.1,56,14149,6.81,6.84,4.24,0.755663934862241
"14746",1.24,"Ideal","H","SI2",59.5,61,12309,6.98,7.03,4.17,0.969051531516016
"14747",1.14,"Ideal","H","VS2",61.6,56,12605,6.72,6.68,4.13,0.859558321535587
"14748",1.14,"Premium","H","VS2",61.7,60,8250,6.74,6.67,4.14,0.8955280368682
"14749",1.14,"Ideal","H","VS2",61.7,57,10505,6.73,6.68,4.14,0.88439589436166
"14750",1.5,"Premium","H","SI2",60.2,59,9941,7.43,7.35,4.45,0.975756227038801
"14751",1,"Very Good","F","VS2",62.1,58,7818,6.36,6.45,3.96,0.363425092771649
"14752",1.23,"Ideal","H","SI1",62.3,57,12103,6.85,6.89,4.28,0.454492574324831
"14753",1.11,"Ideal","E","SI2",61.4,58,NA,6.63,6.66,4.08,0.0217010483611375
"14754",1,"Ideal","E","SI1",61.7,55,14739,6.44,6.49,3.99,0.541373784421012
"14755",1,"Very Good","G","VS2",61.2,56,6028,6.47,6.38,3.93,0.701143554644659
"14756",1.01,"Premium","D","SI1",62.3,60,8806,6.4,6.35,3.97,0.350911618908867
"14757",1.01,"Premium","D","SI1",61.6,58,9947,6.47,6.42,3.97,0.41018666815944
"14758",1.01,"Ideal","D","SI1",62,57,10784,6.44,6.37,3.97,0.75491417828016
"14759",1.01,"Premium","D","SI1",62.8,60,9492,6.42,6.36,4.01,0.290278661297634
"14760",1.01,"Ideal","D","SI1",60.8,56,14188,6.54,6.48,3.96,0.365203506546095
"14761",1.01,"Very Good","G","VS2",63.1,57,7798,6.39,6.35,4.02,0.277160470606759
"14762",1,"Premium","G","VS2",61.6,58,8054,6.39,6.43,3.95,0.519633220741525
"14763",1,"Very Good","G","VS2",63,58,6726,6.33,6.4,4.01,0.266299494542181
"14764",1.23,"Good","I","VS1",63.6,59,4220,6.85,6.76,4.33,0.798165528103709
"14765",1,"Premium","G","VS1",62.9,55,8873,6.39,6.33,4,0.737986088497564
"14766",1.2,"Very Good","I","VS2",60.5,60,7822,6.86,6.93,4.17,0.730717904632911
"14767",1.06,"Premium","F","VS2",61.2,57,9241,6.64,6.49,4.02,0.678137117996812
"14768",1.02,"Good","G","VS2",63.7,57,5286,6.24,6.31,4,0.581124474294484
"14769",1.01,"Very Good","G","VS2",61.4,59,7355,6.42,6.48,3.96,0.593588630203158
"14770",1.22,"Premium","H","VS2",61.4,62,8943,6.92,6.76,4.22,0.142632773146033
"14771",1.17,"Ideal","F","SI1",62.2,56,10907,6.73,6.71,4.18,0.335843743989244
"14772",1.06,"Ideal","D","SI1",62.7,54,12186,6.52,6.55,4.1,0.178680665791035
"14773",1.01,"Premium","G","VS2",62.1,60,8286,6.37,6.35,3.95,0.898714655311778
"14774",1.01,"Premium","G","VS2",59,61,9848,6.62,6.56,3.89,0.141026195371523
"14775",1.01,"Premium","G","VS2",61.8,59,8257,6.45,6.4,3.97,0.160863487049937
"14776",1.01,"Ideal","G","VS2",62.4,56,12017,6.42,6.39,4,0.977651907363907
"14777",0.99,"Ideal","F","VS1",61,55,13264,6.46,6.52,3.96,0.706335679627955
"14778",1.25,"Premium","D","SI2",63,62,8220,6.86,6.82,4.3,0.275263853138313
"14779",1.2,"Premium","D","SI2",61.4,60,9765,6.85,6.79,4.19,0.597511573927477
"14780",1.2,"Premium","G","SI1",61.5,61,9260,6.84,6.78,4.19,0.129702648147941
"14781",1.03,"Very Good","D","SI1",61.2,54,6515,6.53,6.61,4.02,0.636143298354
"14782",1.21,"Ideal","H","SI1",62.4,56,14879,6.85,6.8,4.26,0.444758872035891
"14783",1.21,"Premium","H","SI1",62.5,58,8883,6.75,6.72,4.21,0.81778608309105
"14784",1.17,"Ideal","D","SI2",62.7,57,10705,6.72,6.7,4.21,0.432617023354396
"14785",1.28,"Premium","H","SI2",61.9,56,8431,7.02,6.94,4.32,0.892841283231974
"14786",1.09,"Very Good","H","SI1",62.5,57,7046,6.49,6.54,4.07,0.46918159048073
"14787",1.25,"Premium","H","SI2",62.1,58,8113,6.93,6.86,4.28,0.952559072058648
"14788",1.25,"Premium","H","SI2",60.4,59,NA,7.02,6.95,4.22,0.0668240373488516
"14789",1.01,"Fair","G","VS2",65.1,56,2031,6.2,6.15,4.02,0.62307337182574
"14790",1.3,"Premium","J","VS2",61.5,58,8511,7.05,7,4.32,0.69377181911841
"14791",1.02,"Good","G","VS1",64.3,57,5442,6.28,6.34,4.06,0.309476022142917
"14792",1.05,"Premium","E","SI1",62.5,59,9392,6.5,6.43,4.04,0.178162254393101
"14793",1.09,"Premium","H","VS1",60.2,61,9796,6.7,6.66,4.02,0.876645251875743
"14794",1.23,"Ideal","H","SI2",60.6,57,10024,6.98,6.94,4.22,0.364095277618617
"14795",1.05,"Very Good","D","SI1",59.3,59,7472,6.63,6.69,3.95,0.938494389178231
"14796",1.12,"Premium","H","VS1",62.1,58,8536,6.64,6.6,4.11,0.923801802797243
"14797",1.04,"Ideal","D","SI1",61.7,57,13211,6.55,6.51,4.03,0.526977373985574
"14798",1.27,"Very Good","I","SI1",63.1,59,7816,6.83,6.87,4.32,0.947466528741643
"14799",1.01,"Good","E","VS2",63.4,56,4810,6.35,6.37,4.03,0.707223969511688
"14800",1.2,"Very Good","I","VS2",62.3,56,7613,6.76,6.81,4.23,0.71205730875954
"14801",1.2,"Very Good","I","SI1",62.9,54,6969,6.75,6.77,4.25,0.859377246582881
"14802",1.02,"Premium","E","SI1",61.4,58,9465,6.48,6.45,3.97,0.138044293504208
"14803",1.19,"Very Good","E","SI1",58,63,6263,6.9,6.97,4.02,0.734120262786746
"14804",1.1,"Premium","G","VS1",62.2,59,9755,6.61,6.57,4.1,0.95351906795986
"14805",1.32,"Premium","H","VS1",61.3,58,8511,7.09,7.01,4.32,0.661708242725581
"14806",1.22,"Ideal","I","VS2",62.5,57,11345,6.83,6.9,4.29,0.107637136941776
"14807",1.11,"Ideal","E","SI2",60.6,56,14254,6.76,6.78,4.1,0.253365973941982
"14808",1.3,"Ideal","H","VS1",62.2,57,13092,7.01,6.98,4.35,0.852888097288087
"14809",1.21,"Premium","I","VS2",62.3,58,8884,6.82,6.79,4.24,0.228858201066032
"14810",1.36,"Premium","I","SI2",62.7,58,8834,7.08,7.01,4.42,0.271077761892229
"14811",1.01,"Premium","G","VVS2",61.5,61,NA,6.44,6.38,3.94,0.0763096828013659
"14812",1.04,"Very Good","G","VS2",61.3,58,7948,6.45,6.53,3.98,0.666820430429652
"14813",1.2,"Ideal","E","SI2",62.5,55,11114,6.77,6.84,4.25,0.658251932356507
"14814",1.22,"Very Good","I","VS1",61.6,60,6626,6.86,6.8,4.21,0.424948233645409
"14815",1.12,"Very Good","D","SI1",62.2,59,6540,6.65,6.67,4.14,0.562579206889495
"14816",1.07,"Premium","G","VS1",59.6,58,9193,6.66,6.7,3.98,0.958421106915921
"14817",1,"Premium","G","VS2",61.5,58,8730,6.39,6.36,3.92,0.918135273270309
"14818",1,"Very Good","G","VS2",63.5,59,6349,6.33,6.23,3.99,0.479013942880556
"14819",1,"Premium","G","VS2",60,59,8134,6.52,6.47,3.9,0.823806545697153
"14820",1,"Premium","G","VS2",63,59,9047,6.45,6.32,4.02,0.388584413332865
"14821",1,"Ideal","G","VS2",62.6,57,NA,6.47,6.4,4.03,0.0430931788869202
"14822",1.35,"Ideal","J","VS2",61.4,57,12892,7.13,7.1,4.37,0.950771185802296
"14823",1.38,"Ideal","J","SI2",62.6,56,10835,7.05,7.16,4.45,0.553861094638705
"14824",1.24,"Premium","D","SI2",59.1,59,9362,7.03,6.98,4.14,0.607171551091596
"14825",1.01,"Good","E","VS2",61.2,62,5755,6.34,6.38,3.89,0.512154594762251
"14826",1.24,"Premium","I","SI1",58.9,59,9393,7.08,7.02,4.15,0.192859253846109
"14827",1.21,"Ideal","H","SI1",61.2,57,13621,6.86,6.93,4.22,0.73032866534777
"14828",1.01,"Ideal","E","SI1",62.2,57,10474,6.41,6.35,3.97,0.791425398318097
"14829",1.01,"Very Good","E","SI1",63.1,57,6839,6.4,6.37,4.03,0.939933641813695
"14830",1.01,"Premium","E","SI1",60,59,8403,6.53,6.47,3.9,0.35944246686995
"14831",1.55,"Very Good","E","I1",61.6,58,6526,7.42,7.52,4.6,0.293023988371715
"14832",1.03,"Ideal","F","SI1",62,56,14271,6.47,6.5,4.02,0.600852361181751
"14833",1.07,"Premium","F","VS2",61.6,60,9000,6.56,6.53,4.03,0.651333131361753
"14834",1.25,"Premium","I","VS2",61,59,9875,6.89,6.98,4.23,0.136748112039641
"14835",1.25,"Very Good","I","VS2",62.7,58,7593,6.74,6.95,4.29,0.898777351016179
"14836",1.25,"Ideal","J","VVS2",61.1,57,12349,6.91,6.94,4.23,0.469073550077155
"14837",1.01,"Very Good","F","SI1",61.3,60,NA,6.39,6.43,3.93,0.00918265176005661
"14838",1.2,"Good","H","SI1",63.6,57,5979,6.79,6.74,4.3,0.789090012433007
"14839",1.2,"Premium","G","VS1",62.9,59,8177,6.75,6.69,4.23,0.257827203255147
"14840",1.2,"Premium","H","SI1",62.9,55,9053,6.77,6.74,4.25,0.353499010205269
"14841",1.26,"Very Good","E","SI2",62.9,59,NA,6.82,6.85,4.3,0.0510241840966046
"14842",1.24,"Ideal","I","SI1",61.1,60,13419,6.94,6.91,4.23,0.903554611373693
"14843",1.24,"Ideal","I","SI1",62.4,57,13754,6.89,6.87,4.29,0.417407353175804
"14844",1.02,"Very Good","H","VS1",63.1,57,7933,6.38,6.44,4.04,0.915231007849798
"14845",1.02,"Premium","G","VS2",62.6,59,8455,6.39,6.43,4.01,0.828565034084022
"14846",0.9,"Ideal","G","VVS1",62.8,56,11493,6.12,6.18,3.86,0.132764774374664
"14847",1.22,"Very Good","I","VS2",63.3,57,7860,6.74,6.82,4.29,0.807530634105206
"14848",1.51,"Good","D","I1",57,64,4486,7.48,7.53,4.28,0.24651082069613
"14849",1.23,"Premium","H","VS2",59.3,58,9587,7,6.94,4.13,0.827487871283665
"14850",1.25,"Ideal","J","VVS2",62.1,56,14051,6.81,6.84,4.24,0.546829886035994
"14851",0.94,"Premium","D","VS1",62.3,58,8381,6.34,6.28,3.93,0.401395173743367
"14852",1.21,"Premium","F","SI2",59,60,9869,6.94,6.99,4.11,0.73042057082057
"14853",1.07,"Ideal","F","SI1",62.7,56,14814,6.47,6.53,4.08,0.193248374620453
"14854",0.95,"Ideal","E","VS1",61.5,57,14253,6.28,6.3,3.87,0.899230950279161
"14855",1.06,"Premium","D","SI1",58.9,61,8286,6.69,6.63,3.92,0.662386128911749
"14856",1.26,"Premium","I","VS2",61,59,NA,6.97,6.91,4.23,0.0336909173056483
"14857",1,"Good","E","VS2",63.3,59,5337,6.29,6.34,4,0.267199603375047
"14858",1.28,"Very Good","H","SI2",60.2,58,7154,7.03,7.13,4.26,0.220842396141961
"14859",1.22,"Ideal","H","SI1",61.9,56,11882,6.86,6.83,4.24,0.485334265511483
"14860",1.2,"Very Good","I","VS2",62.1,60,7707,6.78,6.72,4.19,0.479168080259115
"14861",1.14,"Premium","H","VS2",60.2,58,9353,6.74,6.81,4.08,0.175680889049545
"14862",1.01,"Good","D","VS2",60.1,64,4369,6.36,6.32,3.81,0.471558632096276
"14863",1.44,"Good","G","I1",63.2,54.8,5240,7.18,7.21,4.54,0.766507633496076
"14864",1.05,"Very Good","G","VS2",63,57,6703,6.48,6.51,4.09,0.146449523046613
"14865",1,"Very Good","D","SI1",59.3,61,6397,6.45,6.5,3.84,0.430724916514009
"14866",1.01,"Very Good","F","VS2",61.4,54,7814,6.4,6.47,3.95,0.952062014723197
"14867",1.01,"Very Good","F","VS2",59.9,61,7095,6.46,6.5,3.88,0.200813978444785
"14868",1.01,"Good","H","VVS2",63.3,57,4417,6.35,6.39,4.03,0.425868220860139
"14869",1.01,"Premium","F","VS2",62.1,60,8595,6.36,6.43,3.97,0.678149133222178
"14870",1.01,"Premium","F","VS2",62.7,58,9600,6.39,6.4,4.01,0.809261887799948
"14871",1.01,"Very Good","F","VS2",61.1,56,7822,6.49,6.56,3.99,0.244869485730305
"14872",1.01,"Good","F","VS2",63.6,59,NA,6.32,6.36,4.03,0.0257045987527817
"14873",1.01,"Good","F","VS2",63.2,58,5861,6.33,6.36,4.01,0.128014211310074
"14874",1.2,"Premium","F","SI2",62.8,57,8859,6.78,6.73,4.24,0.509454139973968
"14875",1.21,"Very Good","H","SI2",61.1,55.7,7792,6.87,6.92,4.21,0.253498230827972
"14876",0.92,"Ideal","G","VS2",62,57,14238,6.21,6.24,3.86,0.967896751360968
"14877",1.15,"Ideal","H","VS2",62.6,57,11332,6.75,6.69,4.21,0.641591735184193
"14878",1.54,"Good","I","SI2",57.9,62,4035,7.63,7.5,4.38,0.588484730804339
"14879",1.16,"Ideal","E","SI2",61.9,55,10095,6.71,6.77,4.17,0.329868261935189
"14880",0.93,"Ideal","E","SI1",61.9,56,13329,6.24,6.27,3.87,0.821214348776266
"14881",1.09,"Premium","H","VS2",62.3,57,9090,6.63,6.53,4.1,0.244373755995184
"14882",1.82,"Fair","H","I1",67.3,58,NA,7.5,7.47,5.04,0.0881585222668946
"14883",1.05,"Ideal","H","VS2",61.4,55,11527,6.53,6.57,4.02,0.615846167551354
"14884",1.04,"Ideal","H","VS2",61.8,55,13898,6.51,6.52,4.03,0.345447303727269
"14885",1.54,"Ideal","I","SI2",61.4,55,12801,7.52,7.43,4.59,0.256724542239681
"14886",1.01,"Ideal","G","VS2",61.7,57,13941,6.48,6.45,3.99,0.253730760421604
"14887",1.28,"Ideal","G","SI2",61.4,57,11245,6.99,6.96,4.28,0.728197797900066
"14888",1.01,"Very Good","G","VS1",63.1,57,7772,6.38,6.33,4.01,0.455350606935099
"14889",1.21,"Ideal","F","SI2",61.8,57,NA,6.82,6.87,4.23,0.0456318845972419
"14890",1.2,"Ideal","G","SI1",60.5,56,14003,6.84,6.87,4.15,0.889401370659471
"14891",1.33,"Ideal","J","SI1",62.5,56,13926,7.05,6.99,4.39,0.235893607838079
"14892",1.29,"Premium","G","SI2",62,58,8709,7.03,6.97,4.34,0.336550755891949
"14893",1.22,"Premium","H","SI1",62.4,58,9396,6.82,6.77,4.24,0.946078772190958
"14894",0.96,"Very Good","E","VS2",58.7,58,6004,6.47,6.51,3.81,0.825821687700227
"14895",1.21,"Premium","D","SI2",62.2,60,9656,6.83,6.8,4.24,0.520657815271989
"14896",1.26,"Ideal","H","SI2",61,56,11165,6.99,6.95,4.25,0.111890352563933
"14897",1.26,"Premium","H","SI2",58.6,59,9729,7.09,7.04,4.14,0.440837726928294
"14898",1.02,"Premium","D","SI1",62.5,59,9800,6.4,6.34,3.98,0.693796587176621
"14899",1.7,"Very Good","F","I1",63.1,56,6660,7.62,7.51,4.78,0.415627755224705
"14900",1.02,"Premium","G","VS2",62.7,61,8830,6.39,6.34,3.99,0.912447422742844
"14901",1.02,"Premium","D","SI1",62.3,59,9479,6.42,6.38,3.99,0.16009949776344
"14902",1.26,"Very Good","F","SI2",63.4,55,7845,6.92,6.9,4.38,0.335980233969167
"14903",1.02,"Premium","D","SI1",60.6,59,NA,6.53,6.47,3.94,0.0840542875230312
"14904",1.01,"Very Good","G","VS2",59.2,59,6964,6.52,6.59,3.88,0.269948909757659
"14905",1.01,"Good","G","VS2",63.1,59,5207,6.37,6.4,4.03,0.660854714922607
"14906",1.01,"Premium","G","VS2",62.4,58,9984,6.38,6.41,3.99,0.328009540447965
"14907",1.01,"Ideal","G","VS2",61.8,56,11564,6.42,6.45,3.98,0.878377409186214
"14908",1,"Premium","G","VS1",60.9,60,8884,6.51,6.41,3.91,0.812087379861623
"14909",1.2,"Very Good","H","VS2",63.3,57,6103,6.78,6.68,4.26,0.766854105051607
"14910",1.26,"Very Good","G","SI2",61.3,55,7038,6.94,7,4.27,0.360747653059661
"14911",1.21,"Premium","J","VVS1",61.3,59,9653,6.86,6.81,4.19,0.333647605730221
"14912",1.07,"Very Good","D","SI1",60.2,55,6421,6.64,6.68,4.01,0.991860207170248
"14913",2.03,"Fair","H","I1",64.4,59,2936,7.91,7.85,5.07,0.269929364789277
"14914",2.03,"Fair","H","I1",66.6,57,3279,7.81,7.75,5.19,0.940450450638309
"14915",0.8,"Ideal","D","VVS2",61.9,56,10868,5.91,5.95,3.67,0.971565229818225
"14916",1.01,"Good","E","VS2",65.4,56,5913,6.18,6.23,4.06,0.935860241297632
"14917",1.23,"Ideal","G","SI2",58.8,60,12248,7.01,7.08,4.14,0.84870212781243
"14918",1.13,"Premium","H","VS1",58.9,58,9840,6.81,6.78,4,0.787547456566244
"14919",1,"Premium","G","VS1",60.6,59,8821,6.42,6.48,3.91,0.707180199446157
"14920",1.2,"Ideal","E","SI2",61.3,56,14985,6.85,6.88,4.21,0.1894105093088
